date,draw_time,d1,d2,d3,combo
2003-06-24,9PM,4,8,9,489
2003-06-25,9PM,0,7,2,072
2003-06-26,9PM,6,9,9,699
2003-06-27,9PM,3,4,7,347
2003-06-28,9PM,7,5,9,759
2003-06-29,9PM,1,5,4,154
2003-06-30,9PM,3,5,0,350
2003-07-01,9PM,2,3,2,232
2003-07-02,9PM,5,7,2,572
2003-07-03,9PM,8,7,5,875
2003-07-04,9PM,6,1,9,619
2003-07-05,9PM,2,6,3,263
2003-07-06,9PM,8,0,4,804
2003-07-07,9PM,6,4,7,647
2003-07-08,9PM,4,5,2,452
2003-07-09,9PM,2,4,6,246
2003-07-10,9PM,2,0,9,209
2003-07-11,9PM,0,4,0,040
2003-07-12,9PM,0,2,8,028
2003-07-13,9PM,1,1,4,114
2003-07-14,9PM,1,7,2,172
2003-07-15,9PM,1,6,1,161
2003-07-16,9PM,3,3,8,338
2003-07-17,9PM,9,1,0,910
2003-07-18,9PM,8,0,2,802
2003-07-19,9PM,9,1,8,918
2003-07-20,9PM,7,3,5,735
2003-07-21,9PM,8,5,5,855
2003-07-22,9PM,2,6,0,260
2003-07-23,9PM,3,1,9,319
2003-07-24,9PM,2,2,3,223
2003-07-25,9PM,1,1,2,112
2003-07-26,9PM,5,9,9,599
2003-07-27,9PM,9,0,9,909
2003-07-28,9PM,8,6,9,869
2003-07-29,9PM,5,7,0,570
2003-07-30,9PM,8,5,6,856
2003-07-31,9PM,0,1,9,019
2003-08-01,9PM,6,5,0,650
2003-08-02,9PM,6,1,6,616
2003-08-03,9PM,3,5,2,352
2003-08-04,9PM,9,9,3,993
2003-08-05,9PM,5,0,1,501
2003-08-06,9PM,4,7,7,477
2003-08-07,9PM,3,3,4,334
2003-08-08,9PM,9,8,4,984
2003-08-09,9PM,0,4,5,045
2003-08-10,9PM,0,7,5,075
2003-08-11,9PM,5,5,8,558
2003-08-12,9PM,9,7,3,973
2003-08-13,9PM,1,1,8,118
2003-08-14,9PM,5,7,4,574
2003-08-15,9PM,3,7,0,370
2003-08-16,9PM,3,4,6,346
2003-08-17,9PM,4,8,5,485
2003-08-18,9PM,5,0,3,503
2003-08-19,9PM,3,4,1,341
2003-08-20,9PM,5,3,6,536
2003-08-21,9PM,9,7,6,976
2003-08-22,9PM,9,5,1,951
2003-08-23,9PM,3,3,2,332
2003-08-24,9PM,3,2,9,329
2003-08-25,9PM,3,8,0,380
2003-08-26,9PM,5,7,8,578
2003-08-27,9PM,4,7,3,473
2003-08-28,9PM,0,9,4,094
2003-08-29,9PM,7,9,6,796
2003-08-30,9PM,5,3,4,534
2003-08-31,9PM,6,8,6,686
2003-09-01,9PM,7,8,2,782
2003-09-02,9PM,7,7,5,775
2003-09-03,9PM,9,4,0,940
2003-09-04,9PM,6,2,6,626
2003-09-05,9PM,5,3,4,534
2003-09-06,9PM,8,9,9,899
2003-09-07,9PM,1,3,9,139
2003-09-08,9PM,1,0,9,109
2003-09-09,9PM,0,6,3,063
2003-09-10,9PM,8,8,9,889
2003-09-11,9PM,0,2,4,024
2003-09-12,9PM,9,2,8,928
2003-09-13,9PM,4,2,1,421
2003-09-14,9PM,3,6,9,369
2003-09-15,9PM,1,7,9,179
2003-09-16,9PM,4,9,2,492
2003-09-17,9PM,3,3,5,335
2003-09-18,9PM,4,4,3,443
2003-09-19,9PM,1,4,7,147
2003-09-20,9PM,6,0,2,602
2003-09-21,9PM,7,9,2,792
2003-09-22,9PM,8,5,7,857
2003-09-23,9PM,2,5,7,257
2003-09-24,9PM,9,4,3,943
2003-09-25,9PM,8,2,6,826
2003-09-26,9PM,4,1,6,416
2003-09-27,9PM,1,7,8,178
2003-09-28,9PM,8,8,8,888
2003-09-29,9PM,6,6,6,666
2003-09-30,9PM,7,6,7,767
2003-10-01,9PM,4,0,2,402
2003-10-02,9PM,5,2,0,520
2003-10-03,9PM,3,8,4,384
2003-10-04,9PM,2,8,0,280
2003-10-05,9PM,0,5,3,053
2003-10-06,9PM,0,1,7,017
2003-10-07,9PM,2,6,5,265
2003-10-08,9PM,4,1,0,410
2003-10-09,9PM,7,1,1,711
2003-10-10,9PM,3,6,7,367
2003-10-11,9PM,9,5,0,950
2003-10-12,9PM,9,6,4,964
2003-10-13,9PM,3,4,1,341
2003-10-14,9PM,1,8,6,186
2003-10-15,9PM,8,7,4,874
2003-10-16,9PM,3,7,8,378
2003-10-17,9PM,2,4,2,242
2003-10-18,9PM,0,0,7,007
2003-10-19,9PM,1,1,9,119
2003-10-20,9PM,2,6,7,267
2003-10-21,9PM,0,7,7,077
2003-10-22,9PM,2,6,0,260
2003-10-23,9PM,8,9,9,899
2003-10-24,9PM,8,2,8,828
2003-10-25,9PM,1,2,8,128
2003-10-26,9PM,8,3,7,837
2003-10-27,9PM,9,7,7,977
2003-10-28,9PM,4,9,8,498
2003-10-29,9PM,9,2,4,924
2003-10-30,9PM,3,3,0,330
2003-10-31,9PM,0,1,1,011
2003-11-01,9PM,7,9,1,791
2003-11-02,9PM,2,7,9,279
2003-11-03,9PM,6,6,1,661
2003-11-04,9PM,0,1,7,017
2003-11-05,9PM,5,6,1,561
2003-11-06,9PM,4,4,4,444
2003-11-07,9PM,0,5,4,054
2003-11-08,9PM,7,0,0,700
2003-11-09,9PM,9,1,3,913
2003-11-10,9PM,9,1,9,919
2003-11-11,9PM,7,6,4,764
2003-11-12,9PM,6,6,0,660
2003-11-13,9PM,8,9,5,895
2003-11-14,9PM,9,6,3,963
2003-11-15,9PM,7,8,5,785
2003-11-16,9PM,7,6,4,764
2003-11-17,9PM,6,1,5,615
2003-11-18,9PM,0,5,7,057
2003-11-19,9PM,8,5,9,859
2003-11-20,9PM,4,4,5,445
2003-11-21,9PM,3,7,0,370
2003-11-22,9PM,3,5,9,359
2003-11-23,9PM,5,2,0,520
2003-11-24,9PM,5,6,4,564
2003-11-25,9PM,3,6,7,367
2003-11-26,9PM,0,9,2,092
2003-11-27,9PM,7,8,0,780
2003-11-28,9PM,9,1,7,917
2003-11-29,9PM,2,1,4,214
2003-11-30,9PM,7,2,2,722
2003-12-01,9PM,1,4,4,144
2003-12-02,9PM,4,6,7,467
2003-12-03,9PM,6,8,5,685
2003-12-04,9PM,2,8,1,281
2003-12-05,9PM,8,0,3,803
2003-12-06,9PM,9,8,2,982
2003-12-07,9PM,6,4,7,647
2003-12-08,9PM,1,6,4,164
2003-12-09,9PM,9,3,5,935
2003-12-10,9PM,6,4,4,644
2003-12-11,9PM,9,3,6,936
2003-12-12,9PM,8,0,7,807
2003-12-13,9PM,4,8,3,483
2003-12-14,9PM,4,4,5,445
2003-12-15,9PM,1,3,6,136
2003-12-16,9PM,7,1,9,719
2003-12-17,9PM,9,7,4,974
2003-12-18,9PM,0,2,2,022
2003-12-19,9PM,1,2,6,126
2003-12-20,9PM,6,9,5,695
2003-12-21,9PM,8,6,0,860
2003-12-22,9PM,8,8,1,881
2003-12-23,9PM,3,4,5,345
2003-12-24,9PM,9,9,7,997
2003-12-26,9PM,4,7,3,473
2003-12-27,9PM,8,8,5,885
2003-12-28,9PM,4,0,9,409
2003-12-29,9PM,3,1,7,317
2003-12-30,9PM,6,7,7,677
2003-12-31,9PM,4,3,9,439
2004-01-02,9PM,4,8,7,487
2004-01-03,9PM,3,1,3,313
2004-01-04,9PM,3,1,1,311
2004-01-05,9PM,1,3,2,132
2004-01-06,9PM,4,2,3,423
2004-01-07,9PM,0,0,4,004
2004-01-08,9PM,0,2,9,029
2004-01-09,9PM,1,1,4,114
2004-01-10,9PM,2,6,7,267
2004-01-11,9PM,2,3,4,234
2004-01-12,9PM,6,2,3,623
2004-01-13,9PM,9,6,4,964
2004-01-14,9PM,7,8,1,781
2004-01-15,9PM,2,7,9,279
2004-01-16,9PM,4,7,4,474
2004-01-17,9PM,7,8,2,782
2004-01-18,9PM,7,7,4,774
2004-01-19,9PM,4,7,9,479
2004-01-20,9PM,5,8,0,580
2004-01-21,9PM,6,1,2,612
2004-01-22,9PM,4,2,8,428
2004-01-23,9PM,0,1,6,016
2004-01-24,9PM,4,8,4,484
2004-01-25,9PM,9,9,7,997
2004-01-26,9PM,3,1,2,312
2004-01-27,9PM,4,9,6,496
2004-01-28,9PM,6,0,5,605
2004-01-29,9PM,4,6,4,464
2004-01-30,9PM,0,2,4,024
2004-01-31,9PM,6,2,1,621
